# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.08, 40.06, 130.0
-105.08, 40.065, 40.0
-105.08, 40.07, 190.0
-105.08, 40.075, 130.0
-105.08, 40.08, 130.0
-105.08, 40.085, 10.0
-105.08, 40.09, 10.0
-105.08, 40.095, 210.0
-105.08, 40.1, 210.0
-105.08, 40.105, 130.0
-105.08, 40.11, 10.0
-105.08, 40.115, 10.0
-105.08, 40.12, 10.0
-105.08, 40.125, 10.0
-105.08, 40.13, 10.0
-105.08, 40.135, 10.0
-105.08, 40.14, 10.0
-105.08, 40.145, 10.0
-105.08, 40.15, 130.0
-105.08, 40.155, 190.0
-105.08, 40.16, 190.0
-105.08, 40.165, 190.0
-105.08, 40.17, 190.0
-105.08, 40.175, 190.0
-105.08, 40.18, 190.0
-105.08, 40.185, 130.0
-105.08, 40.19, 190.0
-105.075, 39.945, 130.0
-105.075, 39.95, 130.0
-105.075, 39.955, 130.0
-105.075, 39.96, 130.0
-105.075, 39.965, 130.0
-105.075, 39.97, 130.0
-105.075, 39.975, 130.0
-105.075, 39.98, 130.0
-105.075, 39.985, 190.0
-105.075, 39.99, 130.0
-105.075, 39.995, 130.0
-105.075, 40, 130.0
-105.075, 40.005, 130.0
-105.075, 40.01, 130.0
-105.075, 40.015, 10.0
-105.075, 40.02, 10.0
-105.075, 40.025, 130.0
-105.075, 40.03, 130.0
-105.075, 40.035, 130.0
-105.075, 40.04, 130.0
-105.075, 40.045, 130.0
-105.075, 40.05, 130.0
-105.075, 40.055, 130.0
-105.075, 40.06, 130.0
-105.075, 40.065, 40.0
-105.075, 40.07, 190.0
-105.075, 40.075, 210.0
-105.075, 40.08, 130.0
-105.075, 40.085, 11.0
-105.075, 40.09, 130.0
-105.075, 40.095, 130.0
-105.075, 40.1, 10.0
-105.075, 40.105, 10.0
-105.075, 40.11, 10.0
-105.075, 40.115, 10.0
-105.075, 40.12, 40.0
-105.075, 40.125, 10.0
-105.075, 40.13, 10.0
-105.075, 40.135, 10.0
-105.075, 40.14, 10.0
-105.075, 40.145, 130.0
-105.075, 40.15, 10.0
-105.075, 40.155, 190.0
-105.075, 40.16, 190.0
-105.075, 40.165, 190.0
-105.075, 40.17, 190.0
-105.075, 40.175, 130.0
-105.075, 40.18, 190.0
-105.075, 40.185, 190.0
-105.075, 40.19, 190.0
-105.07, 39.945, 190.0
-105.07, 39.95, 130.0
-105.07, 39.955, 130.0
-105.07, 39.96, 130.0
-105.07, 39.965, 130.0
-105.07, 39.97, 130.0
-105.07, 39.975, 130.0
-105.07, 39.98, 130.0
-105.07, 39.985, 130.0
-105.07, 39.99, 130.0
-105.07, 39.995, 130.0
-105.07, 40, 130.0
-105.07, 40.005, 130.0
-105.07, 40.01, 130.0
-105.07, 40.015, 10.0
-105.07, 40.02, 10.0
-105.07, 40.025, 130.0
-105.07, 40.03, 130.0
-105.07, 40.035, 190.0
-105.07, 40.04, 190.0
-105.07, 40.045, 130.0
