# ESA / ESA CCI Land Cover Project, led by UCL-Geomatics (Belgium)
Long, Lat, LC_2010
-105.09, 40.065, 130.0
-105.09, 40.07, 130.0
-105.09, 40.075, 130.0
-105.09, 40.08, 130.0
-105.09, 40.085, 10.0
-105.09, 40.09, 10.0
-105.09, 40.095, 210.0
-105.09, 40.1, 210.0
-105.09, 40.105, 10.0
-105.09, 40.11, 130.0
-105.09, 40.115, 130.0
-105.09, 40.12, 10.0
-105.09, 40.125, 10.0
-105.09, 40.13, 10.0
-105.09, 40.135, 10.0
-105.09, 40.14, 10.0
-105.09, 40.145, 10.0
-105.09, 40.15, 130.0
-105.09, 40.155, 190.0
-105.09, 40.16, 190.0
-105.09, 40.165, 190.0
-105.09, 40.17, 190.0
-105.09, 40.175, 190.0
-105.09, 40.18, 190.0
-105.09, 40.185, 130.0
-105.09, 40.19, 130.0
-105.085, 39.945, 130.0
-105.085, 39.95, 130.0
-105.085, 39.955, 130.0
-105.085, 39.96, 130.0
-105.085, 39.965, 130.0
-105.085, 39.97, 130.0
-105.085, 39.975, 130.0
-105.085, 39.98, 130.0
-105.085, 39.985, 190.0
-105.085, 39.99, 190.0
-105.085, 39.995, 190.0
-105.085, 40, 130.0
-105.085, 40.005, 130.0
-105.085, 40.01, 130.0
-105.085, 40.015, 130.0
-105.085, 40.02, 130.0
-105.085, 40.025, 130.0
-105.085, 40.03, 130.0
-105.085, 40.035, 130.0
-105.085, 40.04, 130.0
-105.085, 40.045, 130.0
-105.085, 40.05, 130.0
-105.085, 40.055, 130.0
-105.085, 40.06, 130.0
-105.085, 40.065, 40.0
-105.085, 40.07, 130.0
-105.085, 40.075, 130.0
-105.085, 40.08, 10.0
-105.085, 40.085, 10.0
-105.085, 40.09, 10.0
-105.085, 40.095, 210.0
-105.085, 40.1, 210.0
-105.085, 40.105, 130.0
-105.085, 40.11, 130.0
-105.085, 40.115, 130.0
-105.085, 40.12, 10.0
-105.085, 40.125, 10.0
-105.085, 40.13, 10.0
-105.085, 40.135, 10.0
-105.085, 40.14, 10.0
-105.085, 40.145, 10.0
-105.085, 40.15, 130.0
-105.085, 40.155, 190.0
-105.085, 40.16, 190.0
-105.085, 40.165, 190.0
-105.085, 40.17, 190.0
-105.085, 40.175, 190.0
-105.085, 40.18, 190.0
-105.085, 40.185, 190.0
-105.085, 40.19, 190.0
-105.08, 39.945, 130.0
-105.08, 39.95, 130.0
-105.08, 39.955, 130.0
-105.08, 39.96, 130.0
-105.08, 39.965, 130.0
-105.08, 39.97, 130.0
-105.08, 39.975, 130.0
-105.08, 39.98, 130.0
-105.08, 39.985, 130.0
-105.08, 39.99, 130.0
-105.08, 39.995, 190.0
-105.08, 40, 130.0
-105.08, 40.005, 130.0
-105.08, 40.01, 130.0
-105.08, 40.015, 130.0
-105.08, 40.02, 190.0
-105.08, 40.025, 190.0
-105.08, 40.03, 130.0
-105.08, 40.035, 130.0
-105.08, 40.04, 130.0
-105.08, 40.045, 130.0
-105.08, 40.05, 130.0
